symbol,interval,strategy,max_drawdown_pct_full_run
XRPUSDT,240,BB_20_25_ADX20,86.5249
XRPUSDT,240,BB_20_25_ADX25,83.3858
XRPUSDT,240,BB_20_25_EMA100,86.1942
XRPUSDT,240,BB_20_25_EMA200,84.7278
XRPUSDT,240,BB_20_25_EMA50,86.5249
XRPUSDT,240,BB_20_25_MACD,86.5249
XRPUSDT,240,BB_20_25_RSI14,86.5249
XRPUSDT,240,BB_20_25_RSI14_55,86.5249
XRPUSDT,240,BB_20_25_SQ,80.6305
XRPUSDT,240,BB_20_25_VOL12,81.0791
XRPUSDT,240,BB_20_25_breakout,86.5249
XRPUSDT,240,BB_20_25_revert,84.5904
XRPUSDT,240,BB_20_2_ADX20,85.3702
XRPUSDT,240,BB_20_2_EMA100,80.8321
XRPUSDT,240,BB_20_2_EMA200,86.596
XRPUSDT,240,BB_20_2_EMA50,85.3702
XRPUSDT,240,BB_20_2_MACD,85.3702
XRPUSDT,240,BB_20_2_RSI14,85.3702
XRPUSDT,240,BB_20_2_RSI14_55,85.3702
XRPUSDT,240,BB_20_2_RSI7_50,85.3702
XRPUSDT,240,BB_20_2_SQ,85.5811
XRPUSDT,240,BB_20_2_VOL12,80.8003
XRPUSDT,240,BB_20_2_breakout,85.3702
XRPUSDT,240,BB_20_2_mid,81.7827
XRPUSDT,240,BB_20_2_revert,86.2592
XRPUSDT,240,EMA3_13_34_100,80.938
XRPUSDT,240,EMA3_13_50_200,84.9848
XRPUSDT,240,EMA3_21_50_200,80.249
XRPUSDT,240,EMA3_8_21_100,80.1238
XRPUSDT,240,EMA3_8_21_50,85.1048
XRPUSDT,240,EMA3_8_34_100,81.1515
XRPUSDT,240,EMA_13_34,84.2574
XRPUSDT,240,EMA_13_34_RSI14_55,84.0787
XRPUSDT,240,EMA_13_34_RSI7_55,85.6483
XRPUSDT,240,EMA_13_34_VOL12,81.411
XRPUSDT,240,EMA_13_50,82.062
XRPUSDT,240,EMA_21_100,86.6094
XRPUSDT,240,EMA_21_50,84.3033
XRPUSDT,240,EMA_21_50_RSI14_55,80.8424
XRPUSDT,240,EMA_34_100,81.2424
XRPUSDT,240,EMA_50_200,82.0486
XRPUSDT,240,EMA_8_21,83.9344
XRPUSDT,240,EMA_8_21_RSI14_55,84.9172
XRPUSDT,240,EMA_8_21_RSI14_60,84.8785
XRPUSDT,240,EMA_8_21_VOL12,86.7177
XRPUSDT,240,EMA_8_21_VOL15,81.1155
