group,symbol,interval,strategy,mask_mode,cooldown_candles,max_sl_pct,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,sum_wins,n_wins,sum_losses,n_losses,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
harness_control,SOLUSDT,60,EMA_8_21,one_shot,0,0.03,450,-333.350659,-189.354788,143.995871,35.33,450,67,229.641132,159,-562.991792,291,8.89,67,170,212,1,67.4269,166.649341,True,0.46
harness_control,SOLUSDT,60,BB_20_25_breakout,none,0,0.03,241,-243.216015,-170.230765,72.98525,40.35,228,108,144.496127,92,-387.712142,136,11.66,108,110,10,0,48.8904,256.783985,True,0.52
harness_control,SOLUSDT,60,BB_20_25_breakout,one_shot,0,0.03,241,-204.586851,-137.715317,66.871534,41.63,209,95,139.604792,87,-344.191642,122,11.86,95,104,10,0,41.2017,295.413149,True,0.49
donchian,ETHUSDT,240,DONCHIAN_20,none,0,0.03,54,-400.093292,-294.720992,105.3723,34.04,329,142,127.483049,112,-527.576341,217,4.94,142,174,13,0,80.6465,99.906708,False,0.23
donchian,ETHUSDT,240,DONCHIAN_20,one_shot,0,0.03,54,-61.260534,-43.991167,17.269366,38.89,54,21,18.276984,21,-79.537518,33,5.09,21,33,0,0,12.7664,438.739466,True,0.19
donchian,ETHUSDT,240,DONCHIAN_55,none,0,0.03,20,-402.691455,-296.649346,106.042109,35.05,331,150,134.019481,116,-536.710936,215,4.82,150,174,7,0,81.1124,97.308545,False,0.29
donchian,ETHUSDT,240,DONCHIAN_55,one_shot,0,0.03,20,-15.652501,-9.24705,6.40545,35.0,20,6,7.528017,7,-23.180518,13,7.05,6,14,0,0,4.5079,484.347499,True,0.2
donchian,ETHUSDT,240,DONCHIAN_PULLBACK_20,none,0,0.03,42,-325.022836,-256.470517,68.552319,30.84,214,118,79.599084,66,-404.62192,148,5.27,118,92,4,0,66.1131,174.977164,True,0.2
donchian,ETHUSDT,240,DONCHIAN_PULLBACK_20,one_shot,0,0.03,42,-82.786141,-69.329253,13.456888,21.43,42,27,9.686743,9,-92.472884,33,5.83,27,14,1,0,16.6313,417.213859,True,0.22
donchian,ETHUSDT,240,DONCHIAN_PULLBACK_55,none,0,0.03,14,-281.100043,-211.20539,69.894653,32.57,218,103,83.534784,71,-364.634827,147,4.28,103,114,0,1,56.5288,218.899957,True,0.21
donchian,ETHUSDT,240,DONCHIAN_PULLBACK_55,one_shot,0,0.03,14,-27.068139,-22.582487,4.485652,21.43,14,8,2.640336,3,-29.708474,11,10.21,8,6,0,0,5.4136,472.931861,True,0.25
harness_control,ETHUSDT,240,EMA_8_21,none,0,0.03,121,-401.690156,-282.829265,118.86089,32.35,371,128,144.269905,120,-545.960061,251,4.38,128,180,63,0,80.5663,98.309844,False,0.2
harness_control,ETHUSDT,240,EMA_8_21,one_shot,0,0.03,121,-138.770878,-100.060442,38.710436,32.23,121,36,47.885122,39,-186.656001,82,5.0,36,51,34,0,27.8269,361.229122,True,0.17
harness_control,ETHUSDT,240,BB_20_25_breakout,none,0,0.03,66,-89.047947,-65.035689,24.012258,30.67,75,30,23.539736,23,-112.587683,52,4.55,30,45,0,0,19.1327,410.952053,True,0.18
harness_control,ETHUSDT,240,BB_20_25_breakout,one_shot,0,0.03,66,-69.415923,-49.91516,19.500763,34.43,61,25,21.375302,21,-90.791224,40,4.8,25,36,0,0,14.9071,430.584077,True,0.22
